,time_centered,nao_mode_num,per_var_nao,per_var_eap,subtrop_high_long,eap_long,max_corr_nao,max_lag_nao,max_corr_eap,max_lag_eap,cluster,total_per_var
30,1997-12-01,0,34.1858704510666,19.39856025865966,-17.25,-21.25,0.7912800196313627,-10,0.4139073289090874,-10,0,53.58443070972626
31,1998-01-01,0,31.333894285236713,22.323245923447452,-17.0,-21.5,0.812343703108607,-10,0.4328573798551406,-10,0,53.65714020868417
32,1998-02-01,0,34.17923911906256,20.88079349720774,-17.25,-21.25,0.8183366735625804,-10,0.4589867479019484,-11,0,55.0600326162703
33,1998-03-01,0,34.46094806981099,21.591227824522797,-17.75,-19.25,0.8174119300753779,-10,0.470420933001997,-12,0,56.052175894333786
34,1998-04-01,0,33.805749618079055,21.87410872718397,-16.5,-18.75,0.8091490020927841,-10,0.4557456005503997,-12,0,55.67985834526303
35,1998-05-01,0,33.816689887034116,21.84746413937781,-16.0,-18.75,0.8076027621756181,-10,0.432654888278682,-13,0,55.66415402641192
36,1998-06-01,0,33.62687133198671,21.84871368398479,-15.75,-18.75,0.8181704185453801,-10,0.3982429432579933,-14,0,55.475585015971504
37,1998-07-01,0,33.62993107421721,21.950359169176927,-15.75,-18.75,0.8435498691293404,-10,0.3631414006034346,-15,0,55.58029024339414
38,1998-08-01,0,33.48353577536475,22.075474452984583,-15.5,-18.75,0.8665285013622575,-10,0.3418486721697421,-15,0,55.55901022834934
39,1998-09-01,0,33.42700286827377,22.480489972129636,-15.0,-18.25,0.8824232418059121,-10,0.3808559845628247,-10,0,55.90749284040341
40,1998-10-01,0,34.769434525441426,21.964594273445588,-16.5,-17.5,0.8941499317116682,-10,0.4679499265816372,-10,0,56.73402879888701
41,1998-11-01,0,34.72426226260953,22.21667831772007,-17.25,-16.25,0.9022105381958258,-10,0.529297844397994,-10,0,56.940940580329595
42,1998-12-01,0,35.09579533133264,23.4033521102652,-17.0,-17.25,0.9068639969011586,-10,0.5649139950350974,-10,0,58.49914744159784
43,1999-01-01,0,33.60177274046612,24.486003345472657,-15.75,-18.0,0.9091359886903324,-10,0.5813789243752229,-10,2,58.08777608593877
44,1999-02-01,0,33.99361070288467,25.6533082728835,-15.25,-18.75,0.909892121829863,-10,0.5871684214441143,-10,2,59.64691897576817
45,1999-03-01,0,37.97659516437405,23.105367104287023,-18.0,-31.5,0.909152092362211,-10,0.5885650148094136,-10,2,61.08196226866107
46,1999-04-01,0,37.815075387785626,23.0216284082826,-18.25,-31.0,0.90808739160126,-10,0.5885195550145955,-10,2,60.83670379606822
