,time_centered,nao_mode_num,per_var_nao,per_var_eap,subtrop_high_long,eap_long,max_corr_nao,max_lag_nao,max_corr_eap,max_lag_eap
21,1997-03-01,0,33.00432414591371,19.065019788356675,-17.25,-24.25,-0.680588421447407,-18,0.2536920227441058,-10
22,1997-04-01,0,32.99159584709812,18.729651382285187,-17.0,-22.5,-0.7088773313011205,-18,0.3533820370379358,-10
23,1997-05-01,0,33.18633530700571,18.648008374499586,-17.25,-24.75,-0.6958181383285388,-18,0.4300651514412538,-11
24,1997-06-01,0,34.14035028429435,18.430972501005506,-17.25,-24.25,-0.6798998166328094,-18,0.47701251687386453,-11
25,1997-07-01,0,34.37623900993144,18.783226906317495,-17.25,-24.75,-0.678682100460554,-18,0.4903618952197119,-12
26,1997-08-01,0,34.44698741621458,18.698241298698008,-17.25,-24.5,-0.6777648998170492,-18,-0.459178663433646,-18
27,1997-09-01,0,34.10344668442251,18.80294155386079,-17.25,-22.75,-0.6546212338144813,-18,0.3928870847073676,-10
28,1997-10-01,0,34.28453990669523,18.676308190107388,-17.25,-22.0,0.7138845282665952,-11,0.3846920666162401,-10
29,1997-11-01,0,34.28273127951124,19.2234080313409,-17.25,-21.25,0.7553909674829248,-10,0.3934274338803097,-10
30,1997-12-01,0,34.1858704510666,19.39856025865966,-17.25,-21.25,0.7912800196313627,-10,0.41390732890908744,-10
31,1998-01-01,0,31.333894285236713,22.323245923447452,-17.0,-21.5,0.812343703108607,-10,0.4328573798551406,-10
32,1998-02-01,0,34.17923911906256,20.88079349720774,-17.25,-21.25,0.8183366735625804,-10,0.4589867479019484,-11
33,1998-03-01,0,34.46094806981099,21.591227824522797,-17.75,-19.25,0.8174119300753779,-10,0.470420933001997,-12
34,1998-04-01,0,33.805749618079055,21.87410872718397,-16.5,-18.75,0.8091490020927841,-10,0.45574560055039975,-12
35,1998-05-01,0,33.816689887034116,21.84746413937781,-16.0,-18.75,0.8076027621756181,-10,0.432654888278682,-13
36,1998-06-01,0,33.62687133198671,21.84871368398479,-15.75,-18.75,0.8181704185453801,-10,0.39824294325799336,-14
37,1998-07-01,0,33.62993107421721,21.950359169176927,-15.75,-18.75,0.8435498691293404,-10,0.3631414006034346,-15
38,1998-08-01,0,33.48353577536475,22.075474452984583,-15.5,-18.75,0.8665285013622575,-10,0.3418486721697421,-15
39,1998-09-01,0,33.42700286827377,22.480489972129636,-15.0,-18.25,0.8824232418059121,-10,0.3808559845628247,-10
40,1998-10-01,0,34.769434525441426,21.964594273445588,-16.5,-17.5,0.8941499317116682,-10,0.4679499265816372,-10
41,1998-11-01,0,34.72426226260953,22.216678317720074,-17.25,-16.25,0.9022105381958258,-10,0.529297844397994,-10
42,1998-12-01,0,35.09579533133264,23.4033521102652,-17.0,-17.25,0.9068639969011586,-10,0.5649139950350974,-10
43,1999-01-01,0,33.60177274046612,24.486003345472657,-15.75,-18.0,0.9091359886903325,-10,0.5813789243752229,-10
44,1999-02-01,0,33.99361070288467,25.6533082728835,-15.25,-18.75,0.909892121829863,-10,0.5871684214441143,-10
45,1999-03-01,0,37.97659516437405,23.105367104287023,-18.0,-31.5,0.909152092362211,-10,0.5885650148094136,-10
46,1999-04-01,0,37.815075387785626,23.021628408282602,-18.25,-31.0,0.90808739160126,-10,0.5885195550145955,-10
47,1999-05-01,0,38.725620514411105,23.377924653859207,-18.25,-31.5,0.9068837606140576,-10,0.593320518623755,-10
48,1999-06-01,0,38.68918742120739,23.41789873889591,-18.25,-32.0,0.9055476253898195,-10,0.6040896443953743,-10
49,1999-07-01,0,38.486691214401624,23.48035751119607,-18.75,-32.0,0.9019303475192184,-10,0.6170077471884103,-10
50,1999-08-01,0,38.34653315183088,23.983413650226723,-18.75,-32.0,0.9012089533517837,-10,0.6261434470780153,-10
